RBD,Nombre_Colegio,Total_Alumnos,Total_Docentes,Ratio_Alumnos_Docente,Promedio_Notas,Anio
40311,COLEGIO CAUPOLICAN,181,1.0,181.0,5.67,2012
3012,COLEGIO DE LA SALLE,749,8.0,93.6,6.19,2012
25045,COLEGIO PARTICULAR PLAYGROUND,231,4.0,57.8,6.13,2012
20001,C.E.I.A.  ALERTA,403,8.0,50.4,4.39,2012
22475,CENTRO EDUCACION ADULTOS APRENDER,231,5.0,46.2,5.76,2012
22499,INSTITUTO TECNICO BERTA VILLEGAS OYARZUN,948,21.0,45.1,5.31,2012
2377,ESCUELA ESPECIAL DE ADULTOS F NÂº 142,43,1.0,43.0,4.4,2012
25463,COLEGIO CTRO. INTEG  ADULTOS ALTAZOL,631,15.0,42.1,5.44,2012
14439,INSTITUTO BALDOR,122,3.0,40.7,5.19,2012
10449,ESCUELA CAMINO DE LUZ,320,8.0,40.0,4.66,2012
25099,INSTITUTO ANDES,350,9.0,38.9,5.46,2012
282,LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL,155,4.0,38.8,5.15,2012
14791,COL.DE ADULTOS ELEUTERIO RAMIREZ,264,7.0,37.7,5.48,2012
4538,ESCUELA DE ADULTOS CHACABUCO,112,3.0,37.3,5.09,2012
16749,COLEGIO JUAN IGNACIO MOLINA DE LA FLORIDA,367,10.0,36.7,5.65,2012
24900,LICEO REBECA OLIVARES B.,1137,31.0,36.7,4.47,2012
25969,COLEGIO AUSTRALIAN COLLEGE TERCER MILENIO,1008,28.0,36.0,5.32,2012
26428,SCUOLA IMPERIALE,71,2.0,35.5,6.33,2012
22613,ESCUELA PARTICULAR CRECER,35,1.0,35.0,5.65,2012
7998,ESCUELA PARTICULAR EL RETAMO,35,1.0,35.0,5.91,2012
3243,ESCUELA ALAMEDA LINARES,139,4.0,34.8,4.36,2012
14389,COLEGIO JUAN LUIS VIVES,1068,31.0,34.5,4.68,2012
24241,CENTRODE ESTUDIOS PATAGONIA DE AYSEN,238,7.0,34.0,5.75,2012
5666,LICEO CAMILO HENRIQUEZ DE TEMUCO,2762,82.0,33.7,5.75,2012
20063,CENTRO DE EDUC.I.ADUL.MIGUEL DE CERVANTES,336,10.0,33.6,4.87,2012
11811,LICEO SANTA MARIA EUFRASIA,399,12.0,33.3,4.89,2012
6160,ESCUELA PARTICULAR CARMELITA,33,1.0,33.0,5.89,2012
14609,COLEGIO CARDENAL OVIEDO,395,12.0,32.9,4.36,2012
24840,COLEGIO DE ADULT. INS. TABANCURA SEDE LONDRES,356,11.0,32.4,4.51,2012
10332,ESCUELA PARTICULAR EL CARMEN,970,30.0,32.3,5.66,2012
24809,ESC. BASICA PART.JUANITA FERNANDEZ SOLAR,710,22.0,32.3,5.79,2012
2121,COLEGIO REPUBLICA ARGENTINA,1252,39.0,32.1,5.8,2012
9489,LICEO COMERCIAL JAVIERA Y J L CARRERA N1,384,12.0,32.0,5.13,2012
6198,ESCUELA PARTICULAR GUINIMO,32,1.0,32.0,5.76,2012
6660,ESCUELA PARTICULAR SANTA ISABEL,32,1.0,32.0,5.25,2012
17879,C.E.I.A. JANEQUEO-CONCEPCION,446,14.0,31.9,5.34,2012
14545,COLEGIO  MERCEDES LEMUS ZAMORA,222,7.0,31.7,4.85,2012
24933,INSTITUTO SAN SEBASTIAN DE PROVIDENCIA,443,14.0,31.6,5.1,2012
12650,COLEGIO SAGRADO CORAZON DE JESUS,1926,61.0,31.6,5.54,2012
9572,ESCUELA PARTICULAR JAVIERA CARRERA,284,9.0,31.6,5.45,2012
7948,ESCUELA PARTICULAR LAS CUYAS,31,1.0,31.0,5.4,2012
19948,ESCUELA PARTICULAR PAULA JARAQUEMADA,31,1.0,31.0,5.68,2012
4386,ESCUELA PARTICULAR NUEVA GUAYALI,31,1.0,31.0,5.56,2012
7057,ESCUELA RURAL PITREN,31,1.0,31.0,5.26,2012
7600,ESCUELA PARTICULAR LAFQUELMAPU,31,1.0,31.0,5.7,2012
20187,ESCUELA PARTICULAR NUEVO AMANECER,31,1.0,31.0,5.73,2012
225,ESCUELA REPUBLICA DE BOLIVIA,1052,34.0,30.9,5.73,2012
12667,COLEGIO HUMBERSTONE,1532,50.0,30.6,6.0,2012
24972,ESCUELA BAS. NUESTRA SENORA MARIA INMACULADA,1342,44.0,30.5,5.76,2012
9654,ESCUELA PARTICULAR FRANCISCO RAMIREZ,1187,39.0,30.4,5.82,2012
25174,CENTRO EDUCACIONAL DE ADULTOS EL PRADO,728,24.0,30.3,4.95,2012
25818,COLEGIO PART. ADULTOS INSTITUTO ICEL,1697,56.0,30.3,5.36,2012
227,ESCUELA BASICA PRESIDENTE BALMACEDA,1608,53.0,30.3,5.63,2012
