,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,25330,COLEGIO PART. FUNCASE DE PUENTE ALTO,102,4.29,1.445
1,16642,COLEGIO ANTAMARO,245,4.76,1.333
2,2233,COLEGIO PARTICULAR SAN ANDRES,165,4.84,1.216
3,40253,ESCUELA ESPECIAL AUDIMED -  LOS AROMOS,66,5.47,1.169
4,24764,ESCUELA PARTICULAR SUBV. SAN JUAN,86,4.9,1.164
5,10405,LICEO ESMERALDA,1025,4.75,1.154
6,615,ESCUELA COQUIMBO,223,5.03,1.073
7,3448,ESCUELA SANTA ISABEL,76,5.4,1.07
8,16656,LICEO VICTORIA,66,4.83,1.06
9,14307,COLEGIO LATINO AMERICANO,63,4.91,1.056
10,10397,LICEO INDUSTRIAL DE RECOLETA,442,4.85,1.055
11,610,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,1078,4.84,1.016
12,199,LICEO DOMINGO LATRILLE LASTAUNOU,384,4.95,1.003
13,22637,COLEGIO SANTA RITA DE CASCIA,64,4.87,0.988
14,665,LICEO CARLOS ROBERTO MONDACA CORTES,441,4.81,0.986
15,1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,214,5.14,0.973
16,26434,ESCUELA BÁSICA PADRE ALVARO LAVIN,127,4.65,0.969
17,3387,LICEO FEDERICO HEISE MARTI,649,5,0.964
18,17764,ESC. PART. ARMANDO ZUNINO ZUNINO,192,5.43,0.959
19,10968,LICEO MAYOR GRAL.(E) OSCAR BONILLA,801,4.77,0.951
20,40139,COLEGIO PIEDRA NEGRA,118,5.36,0.947
21,3317,LICEO JUAN GOMEZ MILLAS,230,5.1,0.943
22,1422,LICEO PEDRO DE VALDIVIA,328,4.7,0.924
23,1996,LICEO MANUEL DE SALAS,437,5.04,0.923
24,486,LICEO JAPON,426,5.23,0.92
25,2173,COLEGIO PARTICULAR BERNARDO O'HIGGINS,208,5.18,0.92
26,5046,ESCUELA PARTICULAR CERRO LA CRUZ,193,5.28,0.918
27,9075,COMPLEJO EDUC. JOAQUIN EDWARDS BELLO.,292,4.87,0.915
28,24459,ESC. BAS.TALLERES PREVOC.HOGAR DE CRISTO,124,4.56,0.912
29,7583,ESCUELA RURAL DE PUAUCHO,93,5.3,0.912
30,20139,LICEO TECNOLOGICO MONTEMARIA,250,5.07,0.912
31,40340,LICEO DE ALTO DEL CARMEN,154,5.13,0.91
32,11809,ESC.PAR.MAURICE AND NATALY SCHOOL,167,5.6,0.907
33,2805,ESCUELA ALBORADA VENTANA DEL BAJO,61,5.42,0.9
34,11429,COLEGIO SANTA HILDA,161,5.33,0.899
35,20119,ESCUELA SANTA TERESITA DE IMPERIAL,70,5.36,0.898
36,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,108,5.25,0.896
37,4284,ESCUELA PARTICULAR SAN MANUEL,121,5.41,0.894
38,3003,COLEGIO PIAGET,262,4.86,0.894
39,13168,LICEO EL PALOMAR,465,4.62,0.891
40,12658,LICEO AGR. TEC. PROF. PADRE FRANCISCO NAPOLI,194,5.03,0.891
41,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,131,5.3,0.889
42,20136,LICEO POLITECNICO LOS NOGALES,180,5.1,0.888
43,3588,ESCUELA ESTER URRUTIA DE RUIZ,51,5.28,0.887
44,12711,LICEO ACADEMIA SINAI,403,5.17,0.887
45,9986,LICEO POLITECNICO,842,5.07,0.884
46,6757,LICEO POLITECNICO BENJAMIN VICUNA MACKENNA,149,4.97,0.881
47,845,LICEO SAMUEL ROMAN ROJAS,491,5.31,0.88
48,9419,LICEO MUNICIPAL ENRIQUE BACKAUSSE,248,5.3,0.874
49,9582,LICEO POLIVALENTE FRANCISCO FRIAS V.,346,4.72,0.874
